date,temperature_2m_max,temperature_2m_min,precipitation_sum
2015-05-21,21.9,14.1,0.0
2015-05-22,24.5,14.6,0.0
2015-05-23,23.0,16.9,0.0
2015-05-24,24.9,16.5,0.0
2015-05-25,24.7,16.5,0.0
2015-05-26,27.4,16.4,0.0
2015-05-27,28.1,16.6,0.0
2015-05-28,25.7,18.4,0.0
2015-05-29,28.4,17.8,0.0
2015-05-30,22.2,18.9,22.4
2015-05-31,24.0,17.2,0.0
2015-06-01,27.4,16.7,0.0
2015-06-02,25.2,19.4,42.0
2015-06-03,23.2,16.6,21.1
2015-06-04,25.6,15.5,0.0
2015-06-05,18.6,17.2,20.9
2015-06-06,22.1,15.5,0.0
2015-06-07,24.0,14.2,0.0
2015-06-08,23.2,18.4,18.4
2015-06-09,22.4,19.7,4.1
2015-06-10,26.3,19.0,1.5
2015-06-11,23.8,20.9,69.8
2015-06-12,28.9,21.0,0.0
2015-06-13,25.9,19.5,0.0
2015-06-14,24.7,18.3,0.1
2015-06-15,26.9,18.0,0.4
2015-06-16,22.5,19.3,10.8
2015-06-17,23.8,18.6,6.0
2015-06-18,21.6,19.9,15.4
2015-06-19,23.7,18.7,6.0
2015-06-20,24.5,17.6,1.1
2015-06-21,25.1,18.0,0.0
2015-06-22,24.0,19.2,0.2
2015-06-23,25.7,18.7,1.4
2015-06-24,26.6,21.1,7.1
2015-06-25,27.0,21.6,12.8
2015-06-26,25.5,21.0,17.2
2015-06-27,21.1,19.3,9.6
2015-06-28,24.7,17.8,0.0
2015-06-29,28.1,16.7,0.0
2015-06-30,23.7,21.2,23.8
2015-07-01,24.5,19.6,23.5
2015-07-02,26.4,18.8,0.0
2015-07-03,27.2,19.4,0.0
2015-07-04,22.4,18.5,4.3
2015-07-05,24.6,18.3,0.0
2015-07-06,23.5,19.5,9.8
2015-07-07,24.5,20.5,65.6
2015-07-08,30.3,21.8,3.6
2015-07-09,32.2,23.3,0.0
2015-07-10,32.9,23.7,0.3
2015-07-11,29.6,24.6,6.3
2015-07-12,29.9,23.8,14.6
2015-07-13,27.9,23.1,7.4
2015-07-14,27.7,22.4,2.1
2015-07-15,30.5,23.3,0.0
2015-07-16,26.3,21.1,0.0
2015-07-17,21.6,19.8,3.8
2015-07-18,29.3,19.3,0.1
2015-07-19,31.1,23.6,11.4
2015-07-20,31.6,25.5,4.2
2016-05-21,26.6,15.7,0.0
2016-05-22,28.1,15.2,0.0
2016-05-23,27.2,16.5,0.0
2016-05-24,27.3,18.2,5.0
2016-05-25,25.1,20.2,5.7
2016-05-26,26.3,19.6,0.0
2016-05-27,25.4,19.0,0.4
2016-05-28,21.8,17.2,7.4
2016-05-29,21.9,18.4,11.5
2016-05-30,26.1,18.2,0.0
2016-05-31,27.9,15.9,0.0
2016-06-01,25.1,17.0,0.4
2016-06-02,23.1,14.5,0.0
2016-06-03,26.4,13.8,0.0
2016-06-04,21.3,17.9,17.4
2016-06-05,21.0,18.4,5.0
2016-06-06,26.2,19.1,0.6
2016-06-07,25.0,21.3,1.3
2016-06-08,25.7,19.9,0.7
2016-06-09,25.2,20.4,6.6
2016-06-10,28.5,19.4,0.0
2016-06-11,29.0,21.8,0.0
2016-06-12,25.8,21.8,25.3
2016-06-13,25.9,19.9,0.8
2016-06-14,27.1,19.2,0.0
2016-06-15,29.0,19.7,0.0
2016-06-16,24.0,20.9,12.0
2016-06-17,25.1,20.2,0.0
2016-06-18,28.2,18.6,0.1
2016-06-19,25.3,22.0,33.2
2016-06-20,25.0,21.9,32.5
2016-06-21,27.0,22.8,7.2
2016-06-22,24.6,22.9,43.6
2016-06-23,27.7,22.7,14.6
2016-06-24,28.3,23.3,9.7
2016-06-25,22.8,19.2,7.5
2016-06-26,25.7,18.4,0.9
2016-06-27,24.0,19.1,23.4
2016-06-28,23.2,19.5,17.9
2016-06-29,25.1,22.1,25.8
2016-06-30,27.7,21.7,1.1
2016-07-01,29.4,21.3,0.6
2016-07-02,29.4,24.8,1.7
2016-07-03,28.4,24.9,15.7
2016-07-04,30.9,24.7,2.3
2016-07-05,32.1,23.4,0.4
2016-07-06,31.5,24.4,0.0
2016-07-07,31.5,23.6,1.2
2016-07-08,26.0,22.9,91.7
2016-07-09,29.5,23.8,8.2
2016-07-10,28.7,24.9,6.9
2016-07-11,27.2,25.1,23.3
2016-07-12,29.7,24.8,7.1
2016-07-13,26.4,24.9,37.9
2016-07-14,28.8,23.4,1.2
2016-07-15,27.3,22.4,0.0
2016-07-16,31.3,21.9,6.7
2016-07-17,28.5,23.0,0.1
2016-07-18,29.1,21.8,0.0
2016-07-19,30.6,23.2,0.0
2016-07-20,30.8,23.4,0.7
2017-05-21,25.5,16.8,0.0
2017-05-22,24.7,15.1,0.0
2017-05-23,25.1,17.0,0.5
2017-05-24,22.3,19.1,6.2
2017-05-25,24.4,18.9,1.5
2017-05-26,19.9,16.2,0.5
2017-05-27,22.0,13.8,0.0
2017-05-28,26.0,15.1,0.0
2017-05-29,29.3,16.2,0.0
2017-05-30,29.6,17.0,0.0
2017-05-31,27.4,19.7,0.0
2017-06-01,29.2,19.3,0.3
2017-06-02,24.1,18.6,0.3
2017-06-03,26.4,16.9,0.0
2017-06-04,25.5,17.4,0.0
2017-06-05,25.6,18.3,0.0
2017-06-06,25.3,19.2,2.1
2017-06-07,23.7,19.3,20.9
2017-06-08,22.3,17.6,0.0
2017-06-09,26.3,16.5,0.0
2017-06-10,27.1,16.6,0.1
2017-06-11,24.4,17.9,5.9
2017-06-12,23.9,17.5,0.0
2017-06-13,23.5,16.1,0.0
2017-06-14,24.2,17.6,0.0
2017-06-15,28.7,16.8,0.0
2017-06-16,26.0,17.6,0.0
2017-06-17,27.7,19.0,0.0
2017-06-18,27.3,18.4,0.0
2017-06-19,30.0,18.9,0.0
2017-06-20,29.8,20.1,13.4
2017-06-21,23.5,20.5,4.7
2017-06-22,25.7,19.9,0.0
2017-06-23,28.8,19.7,0.0
2017-06-24,25.9,22.6,33.5
2017-06-25,24.8,21.7,1.1
2017-06-26,24.8,21.4,1.7
2017-06-27,25.3,21.3,6.8
2017-06-28,25.4,21.6,3.2
2017-06-29,28.8,22.4,10.4
2017-06-30,29.4,23.4,5.0
2017-07-01,31.1,24.3,2.4
2017-07-02,31.7,25.4,0.1
2017-07-03,32.7,25.3,0.1
2017-07-04,28.7,24.7,37.5
2017-07-05,29.3,24.4,12.3
2017-07-06,27.9,23.6,19.8
2017-07-07,27.0,24.3,15.0
2017-07-08,29.6,25.2,4.2
2017-07-09,30.7,24.4,26.3
2017-07-10,29.6,25.3,0.7
2017-07-11,30.3,26.3,5.6
2017-07-12,30.1,24.8,5.1
2017-07-13,31.1,23.8,0.0
2017-07-14,31.8,25.2,0.7
2017-07-15,32.0,24.9,0.4
2017-07-16,32.1,25.0,0.0
2017-07-17,32.6,24.4,0.8
2017-07-18,30.3,26.0,2.3
2017-07-19,30.4,25.1,4.4
2017-07-20,30.6,24.9,2.0
2018-05-21,25.3,14.8,0.0
2018-05-22,26.3,16.3,0.2
2018-05-23,22.3,16.9,6.6
2018-05-24,22.6,15.2,0.0
2018-05-25,27.1,18.1,0.0
2018-05-26,24.7,18.7,2.8
2018-05-27,27.4,16.8,0.9
2018-05-28,22.7,19.5,4.0
2018-05-29,24.9,20.1,0.1
2018-05-30,26.5,20.5,2.6
2018-05-31,23.5,18.1,1.6
2018-06-01,23.0,16.0,0.0
2018-06-02,26.5,15.8,0.0
2018-06-03,26.7,16.8,0.1
2018-06-04,26.6,18.2,0.0
2018-06-05,21.3,18.1,35.6
2018-06-06,21.6,18.7,3.7
2018-06-07,26.2,18.2,0.1
2018-06-08,26.9,21.2,22.1
2018-06-09,25.4,20.0,0.0
2018-06-10,25.9,19.5,6.4
2018-06-11,22.8,19.7,24.8
2018-06-12,21.6,17.7,4.5
2018-06-13,22.9,16.3,0.0
2018-06-14,25.8,17.7,0.0
2018-06-15,22.9,18.4,0.2
2018-06-16,23.8,17.1,0.0
2018-06-17,29.3,17.7,0.0
2018-06-18,27.9,21.3,5.4
2018-06-19,24.1,21.6,28.7
2018-06-20,23.3,20.4,38.5
2018-06-21,26.7,20.5,0.0
2018-06-22,27.9,19.2,0.1
2018-06-23,23.6,19.3,8.0
2018-06-24,28.6,17.8,0.0
2018-06-25,29.6,19.6,0.0
2018-06-26,28.5,22.0,5.5
2018-06-27,30.0,25.1,0.8
2018-06-28,28.4,25.8,1.3
2018-06-29,26.1,24.2,17.3
2018-06-30,27.5,23.8,5.7
2018-07-01,32.3,23.4,0.1
2018-07-02,31.6,24.5,1.0
2018-07-03,27.7,24.2,89.4
2018-07-04,31.7,24.3,10.3
2018-07-05,26.2,24.2,55.9
2018-07-06,25.3,22.8,101.9
2018-07-07,25.0,21.9,4.0
2018-07-08,26.6,21.8,3.5
2018-07-09,31.1,23.4,0.1
2018-07-10,32.8,24.2,1.0
2018-07-11,29.8,24.6,0.0
2018-07-12,29.8,24.8,0.0
2018-07-13,29.6,24.9,0.0
2018-07-14,30.3,23.8,0.0
2018-07-15,31.0,23.7,0.0
2018-07-16,31.4,24.5,0.0
2018-07-17,30.6,25.1,0.0
2018-07-18,30.3,25.1,0.0
2018-07-19,31.6,25.8,0.0
2018-07-20,38.1,25.9,0.0
2019-05-21,20.1,14.4,0.0
2019-05-22,23.2,14.2,0.0
2019-05-23,27.4,13.7,0.0
2019-05-24,29.8,16.3,0.0
2019-05-25,29.4,17.2,0.0
2019-05-26,28.7,19.3,0.0
2019-05-27,24.2,20.3,11.5
2019-05-28,21.4,16.3,6.2
2019-05-29,24.8,15.3,0.0
2019-05-30,25.9,13.7,0.2
2019-05-31,20.4,17.7,4.1
2019-06-01,23.9,18.0,0.0
2019-06-02,25.2,20.2,0.2
2019-06-03,25.7,19.5,0.0
2019-06-04,27.1,20.9,3.0
2019-06-05,28.3,19.5,0.0
2019-06-06,28.7,20.1,2.3
2019-06-07,28.0,20.2,5.4
2019-06-08,22.2,18.9,6.0
2019-06-09,23.1,17.7,0.0
2019-06-10,22.5,17.8,0.2
2019-06-11,22.1,16.5,0.0
2019-06-12,22.2,17.3,1.0
2019-06-13,28.6,16.1,0.0
2019-06-14,24.9,20.0,13.1
2019-06-15,20.4,18.6,40.6
2019-06-16,22.2,18.2,1.7
2019-06-17,26.1,16.7,0.0
2019-06-18,22.6,18.0,2.1
2019-06-19,26.1,17.2,0.0
2019-06-20,27.0,18.9,0.0
2019-06-21,29.6,20.9,0.0
2019-06-22,23.8,18.8,1.1
2019-06-23,22.3,17.0,0.0
2019-06-24,23.6,17.9,0.1
2019-06-25,29.0,18.1,0.0
2019-06-26,28.8,21.1,12.6
2019-06-27,29.3,23.3,17.5
2019-06-28,28.3,22.6,5.8
2019-06-29,29.0,23.1,5.5
2019-06-30,28.7,22.3,23.9
2019-07-01,26.4,21.6,13.2
2019-07-02,25.4,21.0,12.7
